Week,CoVHKU1,CoVNL63,CoVOC43,CoV229E
2016-07-02,0.098392915710,0.065595277140,0.852738602821,0.163988192850
2016-07-09,0.176418700382,0.147015583652,0.970302852102,0.294031167304
2016-07-16,0.028425241615,0.028425241615,0.682205798749,0.312677657760
2016-07-23,0.087591240876,0.087591240876,0.905109489051,0.233576642336
2016-07-30,0.059470710675,0.029735355337,0.624442462087,0.208147487362
2016-08-06,0.031075201989,0.248601615911,0.310752019888,0.217526413922
2016-08-13,0.151975683891,0.091185410334,0.516717325228,0.212765957447
2016-08-20,0.000000000000,0.082079343365,0.410396716826,0.054719562244
2016-08-27,0.000000000000,0.232919254658,0.828157349896,0.232919254658
2016-09-03,0.067294751009,0.089726334679,0.807537012113,0.224315836698
2016-09-10,0.000000000000,0.175708324182,0.461234350977,0.131781243136
2016-09-17,0.000000000000,0.153022188217,0.363427697016,0.153022188217
2016-09-24,0.018258170531,0.127807193719,0.584261457002,0.146065364251
2016-10-01,0.017765144786,0.088825723930,0.532954343578,0.124356013502
2016-10-08,0.033823778116,0.101471334348,0.811770674784,0.135295112464
2016-10-15,0.032792261026,0.131169044106,0.606656828988,0.065584522053
2016-10-22,0.000000000000,0.079428117554,0.603653693407,0.206513105639
2016-10-29,0.000000000000,0.187764043186,0.844938194336,0.281646064779
2016-11-05,0.030868961259,0.169779286927,1.018675721562,0.231517209446
2016-11-12,0.044267374945,0.177069499779,1.209974915154,0.191825291427
2016-11-19,0.013861935126,0.194067091766,1.635708344885,0.207929026892
2016-11-26,0.030184123151,0.211288862059,2.007244189556,0.392393600966
2016-12-03,0.012581781580,0.264217413186,2.755410166080,0.553598389532
2016-12-10,0.292397660819,0.394101195017,3.674040172896,0.495804729214
2016-12-17,0.035310734463,0.423728813559,5.355461393597,0.941619585687
2016-12-24,0.096649484536,0.365120274914,5.423109965636,1.192010309278
2016-12-31,0.092047128130,0.460235640648,6.857511045655,1.527982326951
2017-01-07,0.035790980673,0.456335003579,6.505010737294,1.628489620616
2017-01-14,0.124168514412,0.443458980044,5.685144124169,2.084257206208
2017-01-21,0.070834071188,0.380733132637,6.074021604392,2.045333805560
2017-01-28,0.051997573447,0.684634717047,5.667735505676,2.591212410088
2017-02-04,0.016616816218,0.839149219010,4.710867397807,3.248587570621
2017-02-11,0.080411707945,0.755870054680,4.567385011258,3.940173689289
2017-02-18,0.088809946714,0.855804941062,3.568545131600,4.222509284676
2017-02-25,0.075827786671,0.690875389671,3.066812705367,3.841941191339
2017-03-04,0.083179297597,0.739371534196,2.818853974122,3.188539741220
2017-03-11,0.084833631822,0.782354604581,2.233952304647,2.780657931945
2017-03-18,0.049985004499,0.669799060282,2.209337198840,2.609217234830
2017-03-25,0.142622051563,0.778935820077,1.656609983544,2.380691168404
2017-04-01,0.140318054256,0.491113189897,1.590271281572,1.789055191768
2017-04-08,0.105757931845,0.423031727380,1.022326674501,1.151586368978
2017-04-15,0.076219512195,0.482723577236,1.041666666667,1.016260162602
2017-04-22,0.147710487445,0.496844366859,0.644554854304,0.644554854304
2017-04-29,0.095315904139,0.503812636166,0.680827886710,0.558278867102
2017-05-06,0.117336462306,0.410677618070,0.440011733646,0.425344675858
2017-05-13,0.231231694158,0.570371512255,0.585786958532,0.385386156929
2017-05-20,0.153186274510,0.306372549020,0.444240196078,0.382965686275
2017-05-27,0.054694621696,0.401093892434,0.510483135825,0.346399270738
2017-06-03,0.119213192927,0.437115040731,0.576197099146,0.178819789390
2017-06-10,0.083734561440,0.188402763241,0.397739166841,0.146535482520
2017-06-17,0.065274200000,0.239338600000,0.130548300000,0.021758100000
2017-06-24,0.094899200000,0.142348800000,0.189798300000,0.094899200000
2017-07-01,0.059119100000,0.118238300000,0.325155200000,0.029559600000
2017-07-08,0.218698700000,0.164024100000,0.355385500000,0.082012000000
2017-07-15,0.026511100000,0.318133600000,0.397667000000,0.053022300000
2017-07-22,0.106016400000,0.238537000000,0.397561600000,0.106016400000
2017-07-29,0.083542200000,0.222779200000,0.250626600000,0.055694800000
2017-08-05,0.089206100000,0.416295000000,0.208147500000,0.059470700000
2017-08-12,0.145433400000,0.290866800000,0.232693400000,0.029086700000
2017-08-19,0.025094100000,0.552070300000,0.225846900000,0.050188200000
2017-08-26,0.123395900000,0.320829200000,0.148075000000,0.000000000000
2017-09-02,0.088183400000,0.661375700000,0.198412700000,0.022045900000
2017-09-09,0.109289600000,0.524590200000,0.153005500000,0.043715800000
2017-09-16,0.054585200000,0.454876300000,0.109170300000,0.054585200000
2017-09-23,0.070397700000,0.527983100000,0.175994400000,0.035198900000
2017-09-30,0.118123500000,0.691866400000,0.185622700000,0.050624400000
2017-10-07,0.096169300000,0.769354100000,0.208366700000,0.016028200000
2017-10-14,0.159642400000,0.782247800000,0.191570900000,0.000000000000
2017-10-21,0.254300700000,0.882572900000,0.284218400000,0.029917700000
2017-10-28,0.460034500000,1.135710200000,0.589419200000,0.014376100000
2017-11-04,0.649167400000,1.213660700000,0.508044000000,0.014112300000
2017-11-11,0.719895300000,1.832460700000,0.890052400000,0.026178000000
2017-11-18,0.823867200000,2.384221700000,1.185869400000,0.049931300000
2017-11-25,0.920456100000,2.788844600000,1.360076900000,0.027476300000
2017-12-02,1.632927000000,4.004026400000,1.577004800000,0.156582000000
2017-12-09,1.515319100000,4.169892700000,1.747594300000,0.033182200000
2017-12-16,1.956331900000,5.030567700000,1.703056800000,0.026200900000
2017-12-23,2.854715400000,5.412064600000,2.633814800000,0.050977100000
2017-12-30,3.241335000000,5.142811300000,2.575417200000,0.072208000000
