Year, Week, Age Group,A (H1),A (Unable to Subtype),A (H3),A (H1N1)pdm09,A (Subtyping not Performed),B (Victoria Lineage),B (Yamagata Lineage),B (Lineage Unspecified),H3N2v
2019,17,0-4 yr,0,0,28,9,1,6,1,9,0
2019,18,0-4 yr,0,0,18,8,0,8,0,2,0
2019,19,0-4 yr,0,0,6,3,8,2,0,10,0
2019,20,0-4 yr,0,0,9,4,2,3,0,0,0
2019,21,0-4 yr,0,0,13,3,0,2,1,1,0
2019,22,0-4 yr,0,0,8,3,0,3,0,3,0
2019,23,0-4 yr,0,0,4,3,0,5,1,5,0
2019,24,0-4 yr,0,0,5,3,3,4,0,1,0
2019,25,0-4 yr,0,0,4,1,0,3,0,2,0
2019,26,0-4 yr,0,0,7,0,0,1,0,1,0
2019,27,0-4 yr,0,0,9,1,0,3,0,0,0
2019,28,0-4 yr,0,0,7,1,0,2,0,0,0
2019,29,0-4 yr,0,0,6,3,2,1,0,0,0
2019,30,0-4 yr,0,0,4,2,0,1,0,0,0
2019,31,0-4 yr,0,0,5,2,0,1,0,1,0
2019,32,0-4 yr,0,0,6,3,0,3,0,0,0
2019,33,0-4 yr,0,0,11,3,1,12,0,0,0
2019,34,0-4 yr,0,0,5,3,0,7,0,0,0
2019,35,0-4 yr,0,0,1,1,0,8,0,3,0
2019,36,0-4 yr,0,0,2,2,5,3,0,0,0
2019,37,0-4 yr,0,0,5,2,6,7,0,0,0
2019,38,0-4 yr,0,0,6,1,2,10,0,0,0
2019,39,0-4 yr,0,0,3,1,3,6,0,1,0
2018,40,5-24 yr,0,0,2,10,2,3,6,0,0
2018,41,5-24 yr,0,0,2,20,2,2,1,2,0
2018,42,5-24 yr,0,0,4,15,2,0,8,1,0
2018,43,5-24 yr,0,0,6,29,0,0,5,1,0
2018,44,5-24 yr,0,0,7,35,0,0,3,0,0
2018,45,5-24 yr,0,0,10,47,6,1,2,1,0
2018,46,5-24 yr,0,0,14,50,2,0,0,0,0
2018,47,5-24 yr,0,0,12,59,1,1,1,0,0
2018,48,5-24 yr,0,0,19,72,2,2,1,0,0
2018,49,5-24 yr,0,0,35,115,2,2,1,2,0
2018,50,5-24 yr,0,0,73,223,1,4,3,2,0
2018,51,5-24 yr,0,0,98,385,27,9,4,4,0
2018,52,5-24 yr,0,0,61,332,36,7,3,3,0
2019,1,5-24 yr,0,0,60,162,45,2,2,3,0
2019,2,5-24 yr,0,0,67,279,15,0,2,4,0
2019,3,5-24 yr,0,0,150,409,39,14,8,3,0
2019,4,5-24 yr,0,0,239,429,42,6,3,8,0
2019,5,5-24 yr,0,0,380,437,17,13,9,4,0
2019,6,5-24 yr,0,0,541,430,9,8,5,8,0
2019,7,5-24 yr,0,0,595,413,9,18,8,15,0
2019,8,5-24 yr,0,0,609,339,21,14,3,35,0
2019,9,5-24 yr,0,0,673,265,20,19,3,22,0
2019,10,5-24 yr,0,0,616,251,12,21,7,25,0
2019,11,5-24 yr,0,0,585,184,6,36,7,28,0
2019,12,5-24 yr,0,0,389,109,3,27,5,41,0
2019,13,5-24 yr,0,0,323,83,2,41,5,63,0
2019,14,5-24 yr,0,0,254,44,3,43,2,46,0
2019,15,5-24 yr,0,0,207,36,3,28,8,44,0
2019,16,5-24 yr,0,0,125,21,1,29,8,15,0
2019,17,5-24 yr,0,0,79,12,1,18,2,46,0
2019,18,5-24 yr,0,0,41,9,0,20,2,4,0
2019,19,5-24 yr,0,0,36,11,2,24,2,6,0
2019,20,5-24 yr,0,0,24,10,0,22,0,7,0
2019,21,5-24 yr,0,0,20,8,2,20,0,0,0
2019,22,5-24 yr,0,0,17,4,1,12,4,8,0
2019,23,5-24 yr,0,0,13,9,0,13,0,8,0
2019,24,5-24 yr,0,0,16,8,2,9,0,4,0
2019,25,5-24 yr,0,0,13,0,0,5,0,6,0
2019,26,5-24 yr,0,0,8,3,0,5,1,2,0
2019,27,5-24 yr,0,0,10,6,0,1,1,0,0
2019,28,5-24 yr,0,0,3,4,0,3,0,1,0
2019,29,5-24 yr,0,0,14,3,1,5,0,1,0
2019,30,5-24 yr,0,0,7,5,1,6,0,0,0
2019,31,5-24 yr,0,0,9,5,1,2,0,0,0
2019,32,5-24 yr,0,0,6,1,0,7,0,1,0
2019,33,5-24 yr,0,0,8,3,1,19,0,0,0
2019,34,5-24 yr,0,0,9,1,0,20,0,1,0
2019,35,5-24 yr,0,0,4,1,1,18,0,2,0
2019,36,5-24 yr,0,0,7,7,1,22,1,0,0
2019,37,5-24 yr,0,0,9,4,3,29,1,2,0
2019,38,5-24 yr,0,0,5,15,4,30,0,3,0
2019,39,5-24 yr,0,0,9,10,8,30,0,4,0
2018,40,25-64 yr,0,0,3,11,4,1,4,0,0
2018,41,25-64 yr,0,0,3,12,1,1,2,0,0
2018,42,25-64 yr,0,0,6,18,6,0,3,0,0
2018,43,25-64 yr,0,0,12,21,2,0,5,0,0
2018,44,25-64 yr,0,0,7,26,1,0,3,0,0
2018,45,25-64 yr,0,0,4,35,6,0,4,0,0
2018,46,25-64 yr,0,0,8,40,2,1,3,0,0
2018,47,25-64 yr,0,0,16,66,3,1,0,0,0
2018,48,25-64 yr,0,0,13,115,9,0,3,1,0
2018,49,25-64 yr,0,0,22,105,6,0,3,1,0
2018,50,25-64 yr,0,0,39,219,7,2,1,0,0
2018,51,25-64 yr,0,0,50,375,20,5,2,2,0
2018,52,25-64 yr,0,0,72,433,51,7,3,2,0
2019,1,25-64 yr,0,0,85,464,71,1,5,1,0
2019,2,25-64 yr,0,0,61,530,45,2,6,1,0
